filter,subarray,photmjsr,uncertainty,t0,lossperyear,amplitude,tau,const
F560W,FULL,0.45138657093048096,0.0025937550235539675,59720.0,0.0022975928150117397,-0.018871581181883812,100.0,1.018871545791626
F560W,BRIGHTSKY,0.44914087653160095,0.002580850850790739,59720.0,0.0022975928150117397,-0.018871581181883812,100.0,1.018871545791626
F560W,SUB256,0.46059852838516235,0.002646688837558031,59720.0,0.0022975928150117397,-0.018871581181883812,100.0,1.018871545791626
F560W,SUB128,0.45138657093048096,0.0025937550235539675,59720.0,0.0022975928150117397,-0.018871581181883812,100.0,1.018871545791626
F560W,SUB64,0.46727389097213745,0.002685046521946788,59720.0,0.0022975928150117397,-0.018871581181883812,100.0,1.018871545791626
F770W,FULL,0.255211740732193,0.0006442331941798329,59720.0,0.0020573188085108995,-0.0031928117386996746,100.0,1.0031927824020386
F770W,BRIGHTSKY,0.2539420425891876,0.0006410280475392938,59720.0,0.0020573188085108995,-0.0031928117386996746,100.0,1.0031927824020386
F770W,SUB256,0.26042014360427856,0.0006573807913810015,59720.0,0.0020573188085108995,-0.0031928117386996746,100.0,1.0031927824020386
F770W,SUB128,0.255211740732193,0.0006442331941798329,59720.0,0.0020573188085108995,-0.0031928117386996746,100.0,1.0031927824020386
F770W,SUB64,0.2641943395137787,0.0006669080466963351,59720.0,0.0020573188085108995,-0.0031928117386996746,100.0,1.0031927824020386
F1000W,FULL,0.344794362783432,0.0010548087302595377,59720.0,0.0024781315587460995,0.006256766617298126,100.0,0.9937432408332825
F1000W,BRIGHTSKY,0.34307897090911865,0.0010495609603822231,59720.0,0.0024781315587460995,0.006256766617298126,100.0,0.9937432408332825
F1000W,SUB256,0.35183098912239075,0.0010763354366645217,59720.0,0.0024781315587460995,0.006256766617298126,100.0,0.9937432408332825
F1000W,SUB128,0.344794362783432,0.0010548087302595377,59720.0,0.0024781315587460995,0.006256766617298126,100.0,0.9937432408332825
F1000W,SUB64,0.3569299876689911,0.0010919345077127218,59720.0,0.0024781315587460995,0.006256766617298126,100.0,0.9937432408332825
F1130W,FULL,1.080007791519165,0.004140724427998066,59720.0,0.0024064278695732355,0.00024472756194882095,100.0,0.9997552633285522
F1130W,BRIGHTSKY,1.0746345520019531,0.0041201235726475716,59720.0,0.0024064278695732355,0.00024472756194882095,100.0,0.9997552633285522
F1130W,SUB256,1.1020487546920776,0.004225228913128376,59720.0,0.0024064278695732355,0.00024472756194882095,100.0,0.9997552633285522
F1130W,SUB128,1.080007791519165,0.004140724427998066,59720.0,0.0024064278695732355,0.00024472756194882095,100.0,0.9997552633285522
F1130W,SUB64,1.1180204153060913,0.004286464303731918,59720.0,0.0024064278695732355,0.00024472756194882095,100.0,0.9997552633285522
F1280W,FULL,0.4062515199184418,0.0013811973622068763,59720.0,0.004960034973919392,0.02355106733739376,100.0,0.9764489531517029
